Nepali,English
द,the
को,of
र,and
तिर,to
एउटी,a
भित्र,in
त्यो,that
म,I
थियो,was
उनी,he
उसको,his
सित,with
छ,is
यो,it
को लागि,for
जसै,as
थियो,had
तिमीहरु,you
होइन,not
हुनु,be
माथी,on
मा,at
बाट भएर,by
उनको,her
कुन,which
हुनु,have
अथवा,or
देखि,from
यो,this
तर,but
सबै,all
उसलाई,him
उनी,she
थिए,were
उनीहरु,they
मेरो,my
हुन्,are
यति,so
म,me
उनीहरुको,their
एउटा,an
एक,one
डडी,de
हामीलाइ,we
WHO,who
के हुन्छ,would
अधिकारी सबै,said
भएको,been
छैन,no
उनी,He
इच्छापत्र,will
उनीहरु,them
कहिले,when
यदि,if
त्यहां,there
अरु,more
बाहिर,out
र,And
यो,It
कोहि,any
माथितिर,up
मा,into
तिमीहरुको,your
छ,has
गर्नु,do
के,what
सक्नु भए,could
तर,but
हाम्रो,our
भन्दा,than
अरु,other
केही,some
धेरै,very
मान्छे,man
मा,upon
प्राय,about
यसको,its
मात्र,only
समय,time
सक्छ,may
ला,la
मन पराउनु,like
सानो,little
त्यसबेला,then
अहिले,now
सहायक क्रिया,should
समर्थ हुनु,can
बरनु,made
गर्नुभयो,did
यस्तो,such
एउटी,A
ठूलो,great
भित्र,In
गर्नै पर्ने,must
यिनीहरु,these
दुइ,two
पहिले,before
देख्नु,see
हामीलाई,us
को माथी,over
हावा,et
धेरै,much
चिन्छु,know
पछि,after
उनी,she
प्रथम,first
म,i
असल,good
श्री,Mr
तल,down
कहिले पनि होइन,never
अधिकाश,most
तिमीहरु,You
कहा,where
उनीहरु,those
बुढो,old
मानिसहरु,men
को मालिक,own
सहायक क्रिया,shall
लैजान,le
आयो,came
योजना,Project
बिना,without
आउनु,come
बनाउनु,make
यो,This
हुनु,being
समय,day
शायद,might
लामो,long
वारपार,through
दुकै,himself
काम,work
कसरी,how
जानु,go
छु,am
यदि,If
बाटो,way
ह,en
पनि,even
रानी,que
धेरै,many
कुवा,well
भन्नु,say
उनीहरु,They
यो,it
प्रत्येक,every
हामीलाइ,We
पनि,too
विचार गर्नु,think
को मुनि,under
जीवन,life
गए खुेनु,went
पिठिउ,back
उही,same
त्यहां,There
अन्तिम,last
भेटियो,found
लिनु,take
मानिसहरु,people
सोचविचार,thought
यंहा,here
अचल,still
मन्दलो,les
भर्खर,just
बेला,while
De fue,def
पनि,also
फेरि,again
को विरुद्घ,against
स्थान,place
टाढा,away
उसलाई,him
पुग्नु,get
तिर,To
सानो उमेरको,young
मर्नु,die
फेरि पनि,though
अभ्कसम्म,yet
के,What
दिनु,give
हात,hand
आखा,eyes
सधैं,ever
त्यसबेला,Then
अलग हुनु,part
आनुहुन्छ,des
देब्रे,left
कहिले,When
चीजहरू,things
आरा लगाउनु,saw
वर्षौं,years
लिनुभयो,took
केही होइन,nothing
राख्नु,put
नंया,new
तीन,three
सधै,always
बती निभाउनु,off
जसै,As
एक पल्ट,once
अर्को,another
उसको,His
ठिक,right
ध्यान नपाऊ,don't
को बीचमा,between
हरेक,each
को लागि,For
अनुहार,face
किनभने,because
कसलागनी,whom
त्यो,That
थोरै,few
डर्क,der
भन्नु,tell
छोरा,son
मायाप्रीति,love
दूर,far
U,un
देखिन्थ्यो,seemed
घर,house
एसच,hw
पाउनु भयो,got
देवता,God
शिर,head
आक्का,called
हेर्नु भयो,looked
मा,At
पुरै,whole
मिलाउनु,set
पाउनु,find
श्रीमती,Mrs
संसार,world
हुनु,having
चीज,thing
दुवै,both
सुनाए,told
अनुमति दिनु,let
रुपरंग,look
द,THE
रात्री,night
जाँदै,going
सुन्नु,heard
मन,mind
थाहा छ,knew
छैन,No
मुटु,heart
देखिनु,seen
चढ,se
दिन,days
अनुल भइक्कती रहेको छ,qui
नाम,name
बीचमा,among
पूरा,done
अभ्क राम्रो,better
यति,So
पूर्ण,full
केही कुरो,something
पानी,du
पल,moment
दिनुभयो,gave
देश,country
एर,er
प्राय करीब,almost
Gutnberg,Gutenberg
छिटै,soon
